timestamps,TP9,AF7,AF8,TP10,Right AUX
1760229486.293,-32.715,-37.598,-28.809,-36.133,0.000
1760229486.296,-33.691,-35.645,-32.715,-41.504,0.000
1760229486.300,-26.855,-35.156,-28.809,-36.133,0.000
1760229486.304,-27.832,-38.086,-25.879,-29.785,0.000
1760229486.308,-40.039,-35.156,-25.391,-35.645,0.000
1760229486.312,-36.621,-27.832,-26.367,-41.992,0.000
1760229486.316,-33.203,-29.297,-28.809,-36.621,0.000
1760229486.320,-32.227,-30.762,-23.438,-28.320,0.000
1760229486.324,-36.621,-23.438,-18.555,-25.879,0.000
1760229486.328,-45.898,-24.414,-20.020,-24.902,0.000
1760229486.332,-46.875,-29.785,-21.973,-30.273,0.000
1760229486.336,-39.551,-29.297,-26.855,-36.621,0.000
1760229486.339,-41.016,-32.227,-26.855,-37.109,0.000
1760229486.343,-46.387,-31.738,-23.438,-34.668,0.000
1760229486.347,-52.734,-33.691,-26.855,-41.504,0.000
1760229486.351,-51.758,-36.621,-31.250,-41.504,0.000
1760229486.355,-48.340,-34.180,-32.715,-42.969,0.000
1760229486.359,-48.340,-30.273,-33.691,-55.176,0.000
1760229486.363,0.000,-31.738,-29.785,-49.316,0.000
1760229486.367,0.000,-36.133,-31.738,-41.992,0.000
1760229486.371,0.000,-32.715,-35.645,-34.180,0.000
1760229486.375,0.000,-28.809,-32.715,-31.250,0.000
1760229486.378,0.000,-31.738,-33.203,-36.621,0.000
1760229486.382,0.000,-31.250,-34.180,-33.691,0.000
1760229486.386,0.000,-28.809,-28.809,-23.926,0.000
1760229486.390,0.000,-30.273,-30.273,-30.762,0.000
1760229486.394,0.000,-30.273,-36.621,-36.133,0.000
1760229486.398,0.000,-27.832,-31.738,-26.855,0.000
1760229486.402,0.000,-24.414,-26.367,-29.297,0.000
1760229486.406,0.000,-23.438,-29.785,-35.156,0.000
1760229486.410,-44.922,-29.297,-35.645,-47.363,0.000
1760229486.414,-45.410,-29.785,-30.762,-45.410,0.000
1760229486.418,-32.227,-20.996,-27.344,-33.203,0.000
1760229486.421,-28.320,-21.973,-29.297,-38.086,0.000
1760229486.425,-30.762,-23.926,-29.297,-43.457,0.000
