timestamps,TP9,AF7,AF8,TP10,Right AUX
1760229773.202,17.578,-35.645,-23.926,-46.875,0.000
1760229773.206,-18.066,-39.551,-17.090,-63.965,0.000
1760229773.210,-69.824,-41.016,-18.066,-39.062,0.000
1760229773.214,-39.551,-40.527,-18.555,-17.578,0.000
1760229773.218,-37.109,-44.434,-20.508,-35.156,0.000
1760229773.221,-68.848,-39.551,-19.043,-35.156,0.000
1760229773.225,-41.016,-40.039,-11.230,-31.738,0.000
1760229773.229,-22.949,-41.504,-9.277,-38.574,0.000
1760229773.233,-25.879,-41.992,-12.695,-32.715,0.000
1760229773.237,-29.297,-38.574,-14.160,-27.832,0.000
1760229773.241,-14.160,-32.227,-12.207,-22.461,0.000
1760229773.245,22.949,-35.156,-19.043,-30.273,0.000
1760229773.249,-21.973,-34.180,-20.508,-41.992,0.000
1760229773.253,-66.895,-34.180,-19.043,-44.434,0.000
1760229773.257,-52.734,-37.598,-20.020,-37.109,0.000
1760229773.261,-35.645,-38.086,-19.531,-36.621,0.000
1760229773.264,-24.414,-40.527,-20.996,-41.016,0.000
1760229773.268,-9.766,-39.551,-24.414,-28.320,0.000
1760229773.272,-8.789,-41.504,-32.227,-29.785,0.000
1760229773.276,-63.477,-41.504,-30.762,-33.691,0.000
1760229773.280,-48.340,-31.250,-31.738,-36.133,0.000
1760229773.284,20.508,-28.320,-34.180,-29.785,0.000
1760229773.288,-7.324,-31.738,-27.344,-27.344,0.000
1760229773.292,-70.312,-33.691,-27.344,-44.922,0.000
1760229773.296,-65.430,-29.785,-25.879,-38.086,0.000
1760229773.300,-43.945,-31.738,-27.832,-38.574,0.000
1760229773.304,-38.086,-36.133,-27.344,-41.016,0.000
1760229773.307,-17.090,-35.156,-23.438,-34.180,0.000
1760229773.311,-30.273,-38.574,-27.832,-44.434,0.000
1760229773.315,-10.254,-35.645,-28.809,-31.250,0.000
1760229773.319,0.000,-40.527,-32.227,-29.297,0.000
1760229773.323,-49.805,-41.504,-36.133,-36.133,0.000
1760229773.327,-78.613,-34.180,-37.109,-28.809,0.000
1760229773.331,-77.148,-39.551,-31.738,-41.992,0.000
1760229773.335,-45.898,-32.715,-29.785,-41.504,0.000
1760229773.339,-40.039,-29.785,-34.180,-42.969,0.000
1760229773.343,-30.273,-36.621,-32.227,-63.477,0.000
1760229773.346,-28.809,-36.621,-25.391,-57.617,0.000
1760229773.350,-42.480,-36.133,-24.414,-45.898,0.000
1760229773.354,5.859,-36.133,-30.762,-57.617,0.000
1760229773.358,-4.395,-36.621,-32.715,-52.734,0.000
1760229773.362,-76.172,-38.086,-24.414,-38.574,0.000
1760229773.366,-84.473,-39.062,-21.973,-47.363,0.000
1760229773.370,-58.105,-36.621,-21.484,-49.316,0.000
1760229773.374,-40.527,-41.992,-22.949,-44.922,0.000
1760229773.378,-26.367,-38.086,-25.391,-34.668,0.000
1760229773.382,-5.371,-28.320,-21.973,-25.391,0.000
1760229773.385,-54.199,-32.715,-25.879,-56.152,0.000
1760229773.389,-58.105,-36.621,-31.738,-57.129,0.000
1760229773.393,-31.250,-32.227,-29.785,-53.711,0.000
1760229773.397,-21.484,-27.344,-22.461,-57.129,0.000
1760229773.401,-17.578,-30.273,-21.484,-46.387,0.000
1760229773.405,-20.996,-38.086,-24.902,-52.734,0.000
1760229773.409,-29.297,-38.574,-23.926,-14.648,0.000
1760229773.413,-45.898,-34.668,-21.484,-16.602,0.000
1760229773.417,-68.359,-36.133,-22.461,-60.059,0.000
1760229773.421,-35.645,-35.645,-27.832,-49.805,0.000
1760229773.425,-28.320,-28.809,-24.414,-43.945,0.000
1760229773.428,-42.969,-31.738,-18.066,-43.945,0.000
1760229773.432,-34.668,-36.133,-19.531,-18.555,0.000
1760229773.436,-5.859,-35.645,-20.508,-18.555,0.000
1760229773.440,0.000,-36.133,-24.414,-34.180,0.000
1760229773.444,-51.758,-34.668,-26.367,-6.348,0.000
1760229773.448,-46.387,-30.762,-25.391,-16.113,0.000
1760229773.452,-32.227,-31.250,-27.832,-36.133,0.000
1760229773.456,-10.254,-31.738,-26.367,-21.973,0.000
1760229773.460,9.766,-24.902,-26.367,-8.301,0.000
1760229773.464,-10.742,-20.508,-27.832,-13.184,0.000
1760229773.468,-14.160,-21.484,-23.926,-27.344,0.000
1760229773.471,-38.574,-26.855,-19.531,-32.715,0.000
1760229773.475,-46.387,-31.738,-23.438,-33.691,0.000
1760229773.479,-16.602,-30.273,-22.949,-17.578,0.000
1760229773.483,-41.992,-30.273,-15.625,-31.250,0.000
1760229773.487,-4.395,-33.203,-16.113,-43.457,0.000
1760229773.491,37.109,-31.738,-18.555,-23.926,0.000
1760229773.495,-46.875,-26.855,-22.949,-38.574,0.000
1760229773.499,-67.383,-20.020,-26.367,-29.785,0.000
1760229773.503,-27.344,-18.555,-28.809,-28.320,0.000
1760229773.507,-27.832,-21.973,-29.785,-64.453,0.000
1760229773.511,-40.527,-22.949,-25.879,-55.664,0.000
1760229773.514,-42.969,-22.949,-20.996,-41.504,0.000
1760229773.518,-22.461,-25.391,-20.996,-35.156,0.000
1760229773.522,37.598,-29.785,-22.949,-42.969,0.000
1760229773.526,-1.465,-30.273,-23.926,-41.992,0.000
1760229773.530,-79.590,-26.367,-25.391,-47.363,0.000
1760229773.534,-45.898,-32.715,-26.855,-43.945,0.000
1760229773.538,-3.418,-41.016,-23.438,-49.805,0.000
1760229773.542,-61.035,-39.551,-20.020,-28.320,0.000
1760229773.546,-96.680,-39.062,-24.414,-36.621,0.000
1760229773.550,-56.152,-41.016,-30.273,-83.984,0.000
1760229773.554,-47.363,-40.039,-27.832,-56.641,0.000
1760229773.557,-64.453,-37.598,-19.531,-34.668,0.000
1760229773.561,-41.992,-29.297,-18.066,-31.738,0.000
1760229773.565,-19.043,-21.484,-21.973,-50.781,0.000
1760229773.569,-26.855,-27.832,-22.461,-45.410,0.000
1760229773.573,-43.945,-31.738,-26.367,-33.203,0.000
1760229773.577,-38.086,-30.273,-27.344,-55.176,0.000
1760229773.581,-40.039,-33.691,-27.344,-49.316,0.000
1760229773.585,-51.758,-34.180,-26.367,-54.199,0.000
1760229773.589,-45.898,-34.180,-21.973,-60.547,0.000
1760229773.593,-19.043,-31.250,-19.531,-42.480,0.000
1760229773.596,-33.203,-31.738,-23.438,-40.527,0.000
1760229773.600,-51.758,-36.133,-24.414,-45.898,0.000
1760229773.604,-20.508,-37.598,-22.949,-49.805,0.000
1760229773.608,-70.312,-41.016,-24.414,-34.180,0.000
1760229773.612,-55.176,-37.598,-23.438,-32.227,0.000
1760229773.616,-21.484,-36.621,-27.344,-41.504,0.000
1760229773.620,-27.832,-36.133,-29.297,-39.062,0.000
1760229773.624,-24.414,-33.203,-30.762,-50.781,0.000
1760229773.628,-3.418,-33.203,-30.762,-59.570,0.000
1760229773.632,4.883,-29.297,-31.738,-45.410,0.000
1760229773.636,-66.895,-29.785,-32.715,-25.879,0.000
1760229773.639,-61.035,-31.250,-27.832,-2.441,0.000
1760229773.643,-41.992,-32.715,-25.879,-18.555,0.000
1760229773.647,-45.410,-34.668,-26.855,-42.480,0.000
1760229773.651,-33.691,-34.180,-24.902,-42.480,0.000
1760229773.655,-15.137,-26.367,-24.902,-30.273,0.000
1760229773.659,-12.695,-26.367,-25.879,-18.555,0.000
1760229773.663,-20.996,-28.320,-28.320,-47.363,0.000
1760229773.667,-18.066,-31.250,-32.715,-66.406,0.000
1760229773.671,-6.348,-37.109,-28.809,-46.387,0.000
1760229773.675,-22.461,-39.062,-23.438,-35.645,0.000
1760229773.679,-25.391,-39.551,-24.902,-19.043,0.000
1760229773.682,-7.812,-35.645,-25.391,-24.902,0.000
1760229773.686,-6.836,-30.762,-26.855,-30.273,0.000
1760229773.690,-31.738,-32.715,-31.250,-41.504,0.000
1760229773.694,-76.660,-38.574,-32.227,-42.969,0.000
1760229773.698,-72.266,-37.598,-28.320,-16.113,0.000
1760229773.702,-15.625,-34.180,-26.367,-34.180,0.000
1760229773.706,-12.695,-35.156,-27.344,-45.410,0.000
1760229773.710,-56.152,-36.133,-27.344,-42.480,0.000
1760229773.714,-61.523,-41.504,-28.809,-45.410,0.000
1760229773.718,-37.109,-38.086,-32.227,-55.664,0.000
1760229773.721,-18.066,-26.855,-27.344,-49.805,0.000
1760229773.725,-5.371,-30.273,-29.297,-15.625,0.000
1760229773.729,-0.977,-32.715,-35.156,-28.320,0.000
1760229773.733,-53.223,-37.598,-35.645,-47.852,0.000
1760229773.737,-81.055,-42.480,-36.133,-39.551,0.000
1760229773.741,-70.801,-40.527,-35.156,-41.016,0.000
1760229773.745,-48.828,-43.945,-34.668,-29.785,0.000
1760229773.749,2.441,-42.480,-33.203,-22.461,0.000
1760229773.753,-16.602,-36.621,-37.598,-27.344,0.000
1760229773.757,-59.570,-34.180,-37.109,-55.176,0.000
1760229773.760,-62.012,-33.691,-30.273,-38.574,0.000
1760229773.764,-16.602,-30.273,-29.297,-16.602,0.000
1760229773.768,27.344,-31.250,-30.273,-38.574,0.000
1760229773.772,-25.879,-39.062,-29.297,-53.711,0.000
1760229773.776,-80.566,-37.598,-25.391,-21.973,0.000
1760229773.780,-78.125,-33.691,-22.461,-21.973,0.000
1760229773.784,-0.977,-32.715,-23.926,-53.711,0.000
1760229773.788,-7.812,-28.809,-22.461,-50.781,0.000
1760229773.792,-89.355,-32.227,-14.648,-42.480,0.000
1760229773.796,-70.312,-38.574,-14.160,-47.852,0.000
1760229773.800,-39.062,-35.156,-19.531,-36.621,0.000
1760229773.803,-17.578,-27.832,-22.461,-22.461,0.000
1760229773.807,-15.137,-24.902,-26.367,-9.766,0.000
1760229773.811,-22.949,-29.785,-27.832,-25.391,0.000
1760229773.815,-22.461,-28.809,-23.926,-50.293,0.000
1760229773.819,-28.320,-27.344,-24.902,-45.898,0.000
1760229773.823,-42.480,-30.762,-27.344,-57.617,0.000
1760229773.827,-19.531,-31.738,-29.297,-55.176,0.000
1760229773.831,-45.410,-37.598,-33.203,-48.340,0.000
1760229773.835,-52.246,-37.598,-32.715,-63.477,0.000
1760229773.839,-43.457,-35.156,-31.250,-42.480,0.000
1760229773.843,-68.848,-34.180,-33.691,-32.715,0.000
1760229773.846,-43.945,-32.715,-34.668,-51.270,0.000
1760229773.850,-29.297,-32.715,-31.738,-42.480,0.000
1760229773.854,-44.434,-31.250,-33.203,-38.086,0.000
1760229773.858,-33.203,-32.227,-36.621,-49.805,0.000
1760229773.862,-28.320,-33.691,-36.133,-44.434,0.000
1760229773.866,-27.832,-26.367,-37.109,-35.156,0.000
1760229773.870,-6.348,-23.438,-33.691,-29.785,0.000
1760229773.874,9.277,-30.762,-31.250,-25.391,0.000
1760229773.878,-43.457,-32.715,-30.273,-36.133,0.000
1760229773.882,-83.984,-30.273,-29.297,-54.688,0.000
1760229773.886,-61.523,-28.809,-26.367,-41.504,0.000
1760229773.889,-20.508,-24.902,-22.949,-26.855,0.000
1760229773.893,-18.066,-23.438,-27.344,-40.527,0.000
1760229773.897,-17.578,-26.367,-31.250,-31.738,0.000
1760229773.901,12.695,-29.785,-29.297,-29.297,0.000
1760229773.905,-10.742,-34.668,-28.320,-38.086,0.000
1760229773.909,-38.086,-37.598,-32.715,-37.109,0.000
1760229773.913,-32.227,-30.273,-33.203,-40.039,0.000
1760229773.917,-23.438,-32.715,-29.297,-55.176,0.000
1760229773.921,-28.320,-43.457,-29.297,-64.941,0.000
1760229773.925,-43.457,-40.039,-29.297,-42.480,0.000
1760229773.929,-33.691,-41.016,-32.227,-25.391,0.000
1760229773.932,-44.922,-45.898,-32.715,-42.480,0.000
1760229773.936,-35.156,-44.922,-29.785,-53.223,0.000
1760229773.940,-12.695,-39.062,-34.180,-51.758,0.000
1760229773.944,-29.785,-30.762,-35.645,-44.434,0.000
1760229773.948,-21.484,-35.156,-34.180,-38.086,0.000
1760229773.952,-24.902,-38.574,-35.156,-50.293,0.000
1760229773.956,-33.203,-36.133,-34.180,-68.848,0.000
1760229773.960,-2.441,-37.598,-28.320,-49.316,0.000
1760229773.964,-20.020,-38.574,-22.461,-19.531,0.000
1760229773.968,-56.641,-29.297,-24.902,-36.133,0.000
1760229773.971,-49.805,-28.809,-31.250,-26.367,0.000
1760229773.975,-27.344,-34.180,-27.344,-23.438,0.000
1760229773.979,-22.949,-37.109,-21.484,-21.973,0.000
1760229773.983,-33.203,-35.645,-27.832,-30.762,0.000
1760229773.987,-41.016,-36.133,-30.762,-55.176,0.000
1760229773.991,-21.973,-41.016,-28.809,-50.293,0.000
1760229773.995,-25.391,-41.016,-31.250,-58.105,0.000
1760229773.999,-40.039,-42.969,-34.668,-58.105,0.000
1760229774.003,-37.109,-40.527,-31.250,-58.594,0.000
1760229774.007,-51.270,-39.062,-24.902,-41.992,0.000
1760229774.011,-63.477,-42.969,-26.367,-42.969,0.000
1760229774.014,-63.965,-42.969,-27.832,-57.129,0.000
1760229774.018,-23.926,-39.062,-23.438,-41.992,0.000
1760229774.022,-10.254,-30.273,-21.973,-29.785,0.000
1760229774.026,-47.363,-25.879,-21.973,-32.715,0.000
1760229774.030,-42.969,-28.809,-22.949,-38.574,0.000
1760229774.034,-17.578,-30.273,-21.973,-35.645,0.000
1760229774.038,-4.883,-33.691,-22.949,-43.945,0.000
1760229774.042,-30.762,-30.762,-26.367,-65.918,0.000
1760229774.046,-27.344,-28.320,-24.902,-60.547,0.000
1760229774.050,-17.578,-28.809,-20.020,-44.922,0.000
1760229774.054,-19.043,-28.320,-19.531,-38.086,0.000
