timestamps,TP9,AF7,AF8,TP10,Right AUX
1760221468.028,20.020,-0.488,-12.207,28.809,0.000
1760221468.032,19.043,-3.906,-19.043,11.230,0.000
1760221468.036,-6.836,-3.906,-26.855,-17.090,0.000
1760221468.040,-0.977,0.488,-17.578,-1.953,0.000
1760221468.044,20.996,0.488,-14.160,16.602,0.000
1760221468.048,10.742,-10.254,-14.648,9.766,0.000
1760221468.052,14.648,-9.766,-9.277,-5.859,0.000
1760221468.056,43.457,0.977,-8.789,-5.859,0.000
1760221468.059,35.156,0.488,-10.254,20.508,0.000
1760221468.063,1.465,-11.719,-11.230,22.949,0.000
1760221468.067,-21.973,-3.418,-11.230,-14.648,0.000
1760221468.071,-19.531,1.953,-10.254,-20.508,0.000
1760221468.075,0.488,-2.441,-15.625,-4.395,0.000
1760221468.079,-0.977,3.418,-11.719,-6.836,0.000
1760221468.083,1.953,3.418,-12.207,-22.461,0.000
1760221468.087,15.137,-3.906,-13.672,-17.090,0.000
1760221468.091,12.695,-6.836,-15.625,3.906,0.000
1760221468.095,4.883,-3.418,-18.066,11.719,0.000
1760221468.099,-34.180,-7.324,-14.648,-2.930,0.000
1760221468.102,-32.715,-6.836,-13.672,4.395,0.000
1760221468.106,20.996,-9.277,-15.137,19.043,0.000
1760221468.110,34.180,-13.184,-22.461,0.000,0.000
1760221468.114,-6.836,-9.766,-23.438,-24.902,0.000
1760221468.118,-20.996,-6.348,-24.414,-25.391,0.000
1760221468.122,-21.484,-5.371,-22.461,-15.625,0.000
1760221468.126,33.691,-1.953,-16.113,-1.465,0.000
1760221468.130,56.641,8.789,-18.555,-2.930,0.000
1760221468.134,-15.625,3.418,-20.020,-12.207,0.000
1760221468.138,-39.062,-10.742,-16.113,2.930,0.000
1760221468.142,-24.414,-12.207,-10.742,14.160,0.000
1760221468.145,-13.672,-8.789,-14.648,-3.906,0.000
1760221468.149,-4.395,-8.789,-21.973,-6.348,0.000
1760221468.153,7.324,-5.859,-23.438,5.859,0.000
1760221468.157,-5.859,4.395,-16.113,6.836,0.000
1760221468.161,2.930,4.883,-9.277,8.301,0.000
1760221468.165,24.414,1.953,-14.648,-4.395,0.000
1760221468.169,31.738,5.371,-14.648,1.953,0.000
1760221468.173,1.953,3.418,-16.113,1.465,0.000
1760221468.177,5.859,5.371,-13.672,8.789,0.000
1760221468.181,0.488,5.371,-11.719,7.324,0.000
1760221468.184,-30.762,-0.977,-14.648,-5.371,0.000
1760221468.188,-4.883,4.883,-17.090,9.277,0.000
1760221468.192,18.066,8.789,-19.531,17.090,0.000
1760221468.196,26.367,1.465,-25.391,12.207,0.000
1760221468.200,18.555,3.418,-27.344,-2.441,0.000
1760221468.204,-12.207,3.418,-22.949,-17.090,0.000
1760221468.208,-13.184,-9.766,-21.484,3.906,0.000
1760221468.212,6.836,-11.230,-19.531,17.090,0.000
1760221468.216,6.836,-7.324,-17.578,-0.977,0.000
1760221468.220,-14.648,-6.348,-17.090,-13.184,0.000
1760221468.224,2.930,-9.277,-21.973,-1.465,0.000
1760221468.227,30.273,-10.742,-20.996,7.812,0.000
1760221468.231,12.695,-2.930,-20.020,6.348,0.000
1760221468.235,-15.137,-7.324,-18.555,-8.789,0.000
1760221468.239,-25.391,-16.113,-17.578,-11.719,0.000
1760221468.243,-8.301,-11.230,-22.461,12.207,0.000
1760221468.247,6.836,0.000,-27.344,-15.137,0.000
1760221468.251,1.953,3.906,-24.414,-35.645,0.000
1760221468.255,-22.461,0.488,-20.996,-5.859,0.000
1760221468.259,-5.371,-4.395,-25.391,23.438,0.000
1760221468.263,18.066,-3.418,-25.879,-1.465,0.000
1760221468.266,5.859,4.883,-20.996,-19.531,0.000
1760221468.270,4.395,-6.348,-22.949,-0.488,0.000
1760221468.274,17.578,-17.578,-26.367,16.113,0.000
1760221468.278,5.859,-23.438,-22.461,18.066,0.000
1760221468.282,-26.367,-24.414,-23.438,-1.465,0.000
1760221468.286,-12.207,-14.160,-26.855,-2.441,0.000
1760221468.290,-1.953,-15.625,-27.344,-0.977,0.000
1760221468.294,0.000,-6.836,-25.879,1.953,0.000
1760221468.298,35.156,1.465,-20.508,8.789,0.000
1760221468.302,10.254,-7.812,-22.461,-15.137,0.000
1760221468.305,-12.207,-8.789,-20.996,-20.508,0.000
1760221468.309,11.230,-7.324,-15.137,0.488,0.000
1760221468.313,-31.250,-12.207,-13.672,4.395,0.000
1760221468.317,-41.504,-6.348,-10.742,-2.441,0.000
1760221468.321,-14.648,-4.883,-9.766,-14.648,0.000
1760221468.325,13.184,-0.977,-12.695,1.465,0.000
1760221468.329,30.762,1.465,-14.160,9.277,0.000
1760221468.333,17.090,-11.719,-17.578,-8.789,0.000
1760221468.337,-9.277,-13.672,-20.996,-18.066,0.000
1760221468.341,20.020,-8.789,-20.508,3.906,0.000
1760221468.345,36.621,-5.371,-16.113,18.066,0.000
1760221468.348,9.277,-5.371,-20.020,-5.859,0.000
1760221468.352,-9.277,-5.859,-19.531,-20.996,0.000
